Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
MobileNetV2,0.5739130434782609,0.5713210090673748,0.5739130434782609,0.5672433223615335,0.9466082845849803
ResNet50,0.5739130434782609,0.5713210090673748,0.5739130434782609,0.5672433223615335,0.9466082845849803
